date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-05-11,680,2026051105016921,ILI,45,21,10,442.90,"4,429.00"
2026-05-11,681,2026051105017027,MAKAR,51,4,52,491.10,"25,537.20"
2026-05-11,682,2026051105017142,MBJC,58,49,10,287.00,"2,870.00"
2026-05-11,683,2026051105016823,MBJC,28,57,10,285.40,"2,854.00"
2026-05-11,684,2026051105017097,MCHL,45,58,100,321.00,"32,100.00"
2026-05-11,685,2026051105017022,MCHL,58,42,20,322.00,"6,440.00"
2026-05-11,686,2026051105016900,MCHL,46,35,19,322.00,"6,118.00"
2026-05-11,687,2026051105017141,MEHL,58,38,25,386.50,"9,662.50"
2026-05-11,688,2026051105017140,MEHL,58,38,20,386.50,"7,730.00"
2026-05-11,689,2026051105017143,MEL,26,57,11,240.00,"2,640.00"
2026-05-11,690,2026051105017086,MEL,52,57,10,240.00,"2,400.00"
